2023-04-10 03:15:20,493 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-04-10 03:15:20,494 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.6.0-x86_64-i386-64bit
2023-04-10 03:15:20,495 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-04-10 03:15:23,236 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-04-10 03:16:41,918 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-04-10 03:17:51,944 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-04-10 03:17:54,811 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-04-10 03:25:06,939 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-04-10 03:25:57,624 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-04-10 03:26:00,463 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-04-10 03:27:22,915 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-04-10 03:27:58,123 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-04-10 03:28:00,648 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-04-10 03:31:24,342 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-04-10 03:31:48,483 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-04-10 03:31:55,088 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
